0xD4DF5C79, serious
0xA44C4A35, player_out_of_playable_area_monitor_callback
0x410D46A7, access
0x5DC5E20A, player
0x2E4B8C78, iprintlnbold
0xB1A434DC, submenu
0xB01C11CE, cursors
0xC0A9FBAB, menus
0xBE6B87F9, true
0xE441FC17, cursor
0x1DF81780, menu
0x7251DF2, slider
0xF96BC9FE, a
0x2E9393AE, option
0x3B5F65F1, f
0x7CE6CAB1, mslider
0x9BEFB288, setshader
0xBA7F003E, fadeovertime
0xFF9C38DC, scaleovertime
0xB5F6560E, up
0xADD0A810, curs
0x9368BA0C, value
0x6BC69CE3, oldvalue
0x69D6D8C4, elem
0x9307E961, new_elem
0x7B1D46D6, del_elem
0xD646D373, str_index
0xD1D62A8F, add_index
0x28450A99, del_index
0x5E76F0AF, index
0x3BBA3A90, windowslide
0x997DC394, isbottom
0xAC2E747E, istop
0xF1646C95, delta
0x5FDAA74C, maxopt
0xAAEEC8C5, max
0x69C2F683, abs
0x9B81E487, moveovertime
0xB0CBC08E, xoffset
0x15DDE6FF, yoffset
0xDD89F865, point
0xE5715B95, relativepoint
0x94AFBC2D, parent
0x86E2F2F, mtext
0x89140677, setparent
0x724A4794, hud
0x89CD542D, destroy
0xE5491840, o
0xF6181ACA, settext
0xAABE9F43, alpha
0x297F9D46, y
0x62240A71, duration
0xB9D80CD1, options
0x95D0212B, min
0x982269ED, isopen
0x1B947E2A, setclientuivisibilityflag
0x84AE6A24, notifyluidata
0x2B74B70A, closeluimenu
0x88BFC661, animstyle
0xF4E0E16B, cursopt
0xA4E8111C, offset
0x7D6C9041, right
0x255826D2, left
0xD7115B10, bottom
0x79CE89AA, top
0x36BF8623, mbg
0x65BCB730, mtitle
0x6B2881B5, mframe
0x3ABF50D6, 0bogsarraykeys54253f0d-168a-428d-a2f1-4c67f33c5f51
0xCDF10C89, 0bogsindex792e0313-0296-4c05-9b11-0950b9b87d70
0x8EF4A7B4, 0bogsarraykeysf3fdd091-b8bf-48f9-b22f-55092ed03aa8
0x6DC460B6, 0bogsindex628c1f88-ee43-4870-be94-80ce6f704aa9
0xB9376D81, basefontscale
0x75BDB5BE, basealpha
0x24E43D59, fscale
0xE3685B80, ascale
0x2363DA9C, fontscale
0xE3EAB219, changefontscaleovertime
0x6028DA46, newid
0xCD318844, newname
0xA8FB77BD, spawnstruct
0x314E0D12, m
0xC325EE8A, a0
0xE92868F3, a1
0x7720F9B8, a2
0x9D237421, a3
0x5B2FD82E, a4
0x81325297, a5
0xF2AE35C, a6
0x352D5DC5, a7
0x93121B42, a8
0xB91495AB, a9
0x9672F948, rmenu
0x3199683E, onlymatch
0x6C668988, arrayremoveindex
0x86E07CDA, 0bogsarraykeyse037a0ed-1fe7-4fbd-a632-21d9fd2957e1
0xB8D8A801, 0bogsindex8ea61c5c-689d-4d31-b98b-a2674a30ed4b
0x9B870C81, v
0x1B6E6804, opt
0xA5F19F3C, 0bogsarraykeys432b5683-654b-40d3-ab19-2ab527bf038a
0x767CAAC8, 0bogsindexa2e7ecd1-1394-46d1-91f8-800628032797
0xDDEC54C7, animmode
0x8D268663, 0bogsarraykeysd8cc588b-3d3d-408c-ae12-103a730db8db
0x79F65609, 0bogsarraykeys35bb6c0f-62e6-43af-974d-cd443da4cf26
0x4AB0283D, 0bogsindex96fbca3d-2d52-48b7-88f4-bdf637e79417
0x7D5301E4, k
0x363F7724, 0bogsarraykeysa2d2e3fa-ed35-4fb8-9d04-3f153d573bd0
0xD95EF9BF, 0bogsindex49989e5d-e5c6-44ef-84fa-7defe0e80304
0x15F39F30, 0bogsarraykeys10a8f25a-3bc3-4174-8e3d-5f6e85913cd1
0x2EC25A1B, 0bogsindex862221e2-209c-4ea8-b5d8-25e80631b4e1
0xD2E735E2, bgb
0xB494A259, 0bogsarraykeysd9a06fd0-4c29-44af-8e8f-05258675c67f
0xCB0E97BF, 0bogsindexeee4a1af-b27c-439d-8f7a-7fd82102ab64
0x4DB6BF4D, aat
0xD18910E2, 0bogsarraykeys8db5229a-6fd4-4cb0-8f35-6c5e4597166f
0x6EB06715, 0bogsindex8cca9c6c-fe24-426b-965a-f0882504b10a
0x84A97238, 0bogsarraykeys9e49d189-9137-4c50-89b8-d4df833cd1f9
0x76487A96, 0bogsindex7294d954-469b-48a9-9606-747cf05e5f13
0xDFCC01FD, weapon
0x4BE20D44, name
0xEFEEEF85, 0bogsarraykeysabadcb4b-2ab3-4323-9688-26082c0cae33
0xA108B7B0, 0bogsindexde2728c4-5b1f-4aaf-b3db-3538e284be34
0x594EC9C7, menuid
0x2E3CA4C4, sys
0x4890E520, disableinvulnerability
0x83FD42B5, enableinvulnerability
0x769DB7B8, enumerateweapons
0x5DBF7ECA, issubstr
0xB82BBE1C, displayname
0x5C8C8601, makelocalizedstring
0x2395E945, players
0x478B766B, addtestclient
0x6C0095F2, _all_parts
0xA218F51E, _doors_done
0x9B43EE9E, _power_done
0x764C8221, map_restart
0x7D3CAC7D, exitlevel
0xF21DC6B9, round_number
0x722885F3, origin
0xA30814D, setorigin
0x7D3ACB08, cl
0x5F22F787, 0bogsarraykeys2e1a94ef-e160-47b9-81a3-73089c4e45a9
0xFA27B120, client
0x91B65017, split
0xD6DF1F20, strtok
0xC7F3CE11, getentitynumber
0xE84CC3B8, sessionmodeismultiplayergame
0xF62CD854, onfunc
0xA08A932E, offfunc
0xAA10FCE8, entity
0xD3694F95, b
0xAD66D52C, c
0x87645AC3, d
0x6161E05A, e
0x836A50B3, togglevars
0x84970CC4, array
0x445053B7, 0bogsarraykeys8db6c29f-367c-41b0-a497-2ed71f90e1ed
0xF527682D, button
0xC4B5D340, 0bogsarraykeys70229e04-30c3-4577-9b9a-a8772fd29656
0x8BA29281, actionslotonebuttonpressed
0x40657223, actionslottwobuttonpressed
0xE57835F5, actionslotthreebuttonpressed
0x7DB80007, actionslotfourbuttonpressed
0xECD44E51, jumpbuttonpressed
0xED1DCFA1, stancebuttonpressed
0xA8B1FBB9, sprintbuttonpressed
0x805A61B0, changeseatbuttonpressed
0xD5EF124, usebuttonpressed
0xF645AF0F, meleebuttonpressed
0xB9A85331, adsbuttonpressed
0xBE4A4B0D, attackbuttonpressed
0x1A71EC67, secondaryoffhandbuttonpressed
0xC11AE181, fragbuttonpressed
0x154F5599, variable
0xB861723E, shader
0x4F8217AF, x
0xD0BAE973, width
0xE363B850, height
0x4D19365, sort
0xEA2F4EFC, align
0x2282BC4D, relative
0x8B804BD9, islevel
0xD945E9E7, createservericon
0x7ACF2F62, createicon
0x5773C805, hidewheninmenu
0xAE4E0093, sl_hudct
0x740F6833, archived
0xE00762CE, string
0x83253AC2, font
0x6AADF29C, createserverfontstring
0x1FA18F5D, createfontstring
0x5F3B356D, movetime
0x1E912B73, setpoint
0xC5B0E858, item
0xC1283B2A, allow_dupes
0x7F41C8E7, isinarray
0xAA912CD5, 0bogsarraykeys28f51a92-ea8a-4f8a-a0cc-292bb5b8a776
0x4CCE6893, 0bogsindexd4bb90d4-0e64-4bdf-9e97-1fee863737aa
0x66DBF59D, a_new
0xA1050BD6, 0bogsarraykeys511442a8-62e9-4cbb-916d-e75ef46b26a7
0x843213EE, 0bogsindex67c860e6-ae4b-4521-8b60-605b33d69a20
0x493B1AC2, sinit
0x40017067, waittill
0xB31A6DDF, tag
0x8F67433B, setdstat
0x705C9C08, alignment
0xE42D5032, rgb
0xE89651E1, boxelem
0x2F6B6A4C, openluimenu
0x3A9588EA, setluimenudata
0x1AB5EBEC, wait_till
0xAD23E503, flag
0xB444826E, notifydata
0xDA258253, notifytext
0xDE0948D6, setcod7decodefx
0x31704579, textelem
0xFE311E35, type
0x740218B1, horzalign
0xF9134763, vertalign
0xE18C3B47, offhand
0x48C6A3A2, getcurrentweapon
0x7DDF1DCE, getcurrentoffhand
0x6C3E6703, weaponnone
0x67795B5F, setweaponammoclip
0x704B802A, givemaxammo
0x5B7E3888, waittill_any
0x82B91A51, util
0xE1E2814F, originpos
0x6D0BE603, scaled
0xF0722BCE, normalized
0x52FDDBD0, unlink
0xDC8C8404, delete
0x9200A762, originobj
0x9B7FDA5E, spawn
0x6AB6F4FD, angles
0x87B6CDA1, playerlinkto
0x901E0817, enableweapons
0xBC7CE905, anglestoforward
0x89C87C9C, getplayerangles
0xDC604012, vectorscale
0x5C21AD3D, scale
0x5A7DD25D, setmovespeedscale
0x241D0EAE, setclientthirdperson
0x255B9315, ignoreme
0x50CCEE8D, hide
0x48F26766, show
0xB3DB42A9, targets
0x4219028B, get_all_closest
0x3D5DE9EB, filter
0x3E94206A, team
0xB8494651, getaiteamarray
0x15661095, zombie_team
0x792FAAE1, aimbot_target
0xEDA2BE50, setplayerangles
0xBDCDC423, vectortoangles
0x501EB072, geteye
0x65F192A6, isplayer
0xC3945CD5, dodamage
0x47C252E3, maxhealth
0x2992720D, kill
0x77570B16, person
0x5B49D38C, isalive
0x1F3745C0, takeweapon
0xB1F17A3B, weapon_give
0x33D4B538, zm_weapons
0x6C1294B8, setdvar
0x44BB96C4, perks_precached
0x3330A438, _magicperks
0xDDE9E253, _custom_perks
0x42D7CB06, __perks
0xB88DB022, 0bogsarraykeys455e0c90-09f4-49bb-93e6-ffda029824e8
0xB3D5E879, 0bogsindex50e41b1d-ac63-43d8-a0a3-b6254b3ed7c5
0x750F5C9D, perk
0xA7EF537A, 0bogsarraykeysea7ce277-4fa9-4880-b500-9134b125cf61
0x4F95B887, 0bogsindex82173cef-566a-454d-872e-d970697cc3b4
0x5D8FA337, setperk
0xE52E855C, unsetperk
0x63C6FB2C, 0bogsarraykeys7a152891-7402-42f3-88c6-e3a4fafa1e36
0x8443275F, 0bogsindex731b9f38-6202-4ce5-b9c0-2ed7ba007a2d
0xA51BC2C7, vending_trigger_post_think
0x74C57FC0, zm_perks
0x86BECE43, camoindex
0x65CE895E, acvi
0xF293A26A, weapon_options
0x7844B40, calcweaponoptions
0x33277744, getbuildkitattachmentcosmeticvariantindexes
0x860A040A, giveweapon
0x9785D11, switchtoweaponimmediate
0xADA4725B, is_weapon_upgraded
0x9D2F1D78, setmatchflag
0x20D9958A, song
0xB55D87CD, nextsong
0x2AC8EFE1, musicsystem
0x3577C5D6, currentplaytype
0x615E3C8F, currentstate
0xCCB8D056, music
0x76113E2C, sndmusicsystem_stopandflush
0xAAB55CF5, zm_audio
0x77A7FE7D, waittime
0xE20459B1, playbacktime
0xA3D46EE4, ent
0xC1CDEDFB, setmusicstate
0x921A1574, playsound
0x799102F2, soundgetplaybacktime
0x39419AE5, stopsounds
0x356A1C2A, stopsound
0x7620E707, gadgetisactive
0xA0B29C50, gadgetpowerset
0x5C93D934, gadgetpowerget
0xF9BD308A, pname
0x791757, num
0x31DC6904, projectilelist
0x3CD6C359, projectilespread
0x2E104F63, 0bogsarraykeys4fcc38a1-28bf-43f0-9664-997dfaece9be
0xD8712C1, 0bogsindex9a8a0984-334f-415f-b61e-8c6c3aaf9bdc
0xF54B9C82, key
0xE0BEB6EE, sessionstate
0xC4D5EC1F, getweapon
0xD48F2AB3, gettagorigin
0x87F3C622, magicbullet
0xCC33F720, degrees
0xB971D8F0, rand
0x72A94F05, randomfloatrange
0x35495468, combineangles
0xF461B5D, grenade
0xDEE29BEE, gcluster
0x80B30AF5, lastspot
0xE59527C1, getorigin
0xECF27A98, magicgrenadetype
0x9E455A4, object
0x56FD354C, obj
0xA52FAA04, trace
0xC070C490, 0bogsarraykeys934f58c5-76eb-4b03-a599-4b4d37660485
0x5CCA5E4A, 0bogsindex41bf57fc-10e4-4205-ae6f-8c46787c7b02
0x6DF9264, model
0x4E325B2B, cannotsetmodel
0x7E27050F, currentent
0xEC1643D2, 0bogsarraykeyscbd95581-4ec0-4f31-9c60-0acd597b79ef
0x2B7A3754, 0bogsindex6d304bf1-a839-49b0-91a6-978ee0665b77
0x99201F25, getentarray
0x7D15E2F8, distance
0x6D40E57F, closer
0xE48F905E, setmodel
0x788EC1D6, rotatepitch
0x21D0DA55, rotateyaw
0x5613042D, rotateroll
0x193C0C5B, dead
0x11EE1E64, clone
0x963FD853, cloneplayer
0xD7A0A9D8, startragdoll
0x8B8EDD3E, bleed_out
0x67E7BEEF, zm_laststand
0x73D48B16, spectate_hud
0x1FEE8319, spawnplayer
0x7B4B2DC5, ent_num
0x1BAFBA97, kick
0x562A2C6F, dropitem
0x972C2DC0, 0bogsarraykeys57784675-62c9-441b-969f-2ad87d2d22fc
0xC9AFA743, 0bogsindexe7efb10b-328b-4957-a428-2ac257edaefa
0x21995B5A, getweaponslist
0x4D35A62B, 0bogsarraykeysf612bb86-de6c-4af8-88b5-2c1cb51db4e5
0x46A87686, 0bogsindexfbf9a98c-070c-4214-a504-152694966ace
0xFE91F994, takeallweapons
0x20C64E5E, crevtext
0x38A9AFF8, player_is_in_laststand
0x564407FB, laststand
0xD397BC5C, auto_revive
0xB0BC3696, doload
0xFC2BB42D, saved_pos
0xF2C30425, final_array
0x4084753A, 0bogsarraykeys58d3833a-df6f-41e5-9681-28448e20c032
0x4E2B9492, 0bogsindex63852bb6-31c9-4c54-bc30-17d63f78ce2d
0x45BE5658, 0bogsarraykeys87bb23e8-5ad7-4b1a-ac55-1825caf368e7
0x922AB115, 0bogsindex36c3b86e-6189-41e3-9dcf-1564b503745d
0x537BEB04, spawn_array
0xDDC9FE3D, target_point
0x108D7DEF, target_zone
0xA80CDDAB, respawn_points
0x7FAF4C39, get_array
0x14B42B8A, struct
0xB07228B6, target
0x8332F7F6, randomize
0xB71ED4A2, v_origin
0xCEE0AEF5, 0bogsarraykeys9359f645-7f1e-4a94-b77f-a959f83e8bd6
0xF222594C, 0bogsindex9e42eb54-f07c-4725-8ccd-43950f2b8133
0x67825717, e_volume
0x27F9A57D, temp_ent
0x6A3A1C8A, volumes
0x32FA5072, istouching
0xB90945E6, 0bogsarraykeysc635f055-0e1a-42b6-9a76-9d924ca77bd4
0x13215C92, 0bogsindex0d63d9a5-06c1-41ae-a21c-de4e768453e2
0x8029A253, isonground
0x8D9759DC, atf
0xF5DF04E6, setvelocity
0x1439C75A, getvelocity
0x190E6710, 0bogsarraykeys1761a527-1a9a-4454-8e82-24c6ab3e83e1
0x2843B013, 0bogsindexb953ecde-d011-4b6a-ae28-ec364c9e1fcd
0xDC99997A, randomintrange
0xF21C46A9, controller
0xD94E2FF1, puppetorigin
0x37F7858A, linkto
0xED594D21, playerlinktodelta
0x1271A73E, disableweapons
0xFE722FCF, setstance
0x653BA713, getstance
0x43C22080, 0bogsarraykeys209d664a-c405-4038-bf55-38ab0e291f29
0xDED7D5D3, 0bogsindexecc67d7c-4796-4f92-9d2d-0c55c0941d38
0xFB9423CF, zombie
0x1208BCDC, var
0x53F85CE6, 0bogsarraykeysa32b5a2f-4894-4f08-b368-7a955a1d9319
0xE955B4F1, 0bogsindex8b51b283-4bdf-4746-b1cc-429c0393cdca
0x8C0ED5DB, oldteam
0xE65FD8D5, snapshot
0xEB306581, closeingamemenu
0xF1242439, score
0x159A070B, getweaponammoclip
0x54D84899, getweaponammostock
0xB2E5A818, sessionteam
0xCA711294, setteam
0xC60F11A2, _encounters_team
0x44FB8955, pers
0x3A90F16B, health
0xCDF98BCD, setweaponammostock
0x6050AB17, enemy
0xF2A78F59, viable_targets
0xBDB4D59B, host
0x71F2D0E7, attempts
0x4A93C703, missile
0x9D097BF8, velocity
0xEE6EAA2, time_to_target
0xCF0933C9, wasalreadypm
0x84368297, getdstat
0xDDE1AC37, addrankxpvalue
0x9A7ED193, uploadstats
0x35A23885, inprematchperiod
0x2FCD388D, is_online
0x3C61BFC2, result
0x76C2AA9F, 0bogsarraykeys4b6d68f2-3bb4-4634-bf62-8c2c8c21125f
0xDEC8FA06, 0bogsindexb3a69b1c-de0b-4d78-9bae-8fc080814497
0x716EFAE, achieve
0x3A2EAFD8, _achieves
0xC718BB8F, giveachievement
0x1E2AF8C1, amount
0x293D069C, isvials
0xEE61BCDA, baseamount
0x12196441, currency_awarded
0xFAC43B6C, reportlootreward
0xB2110ED2, 0bogsarraykeysd86c6c2d-959a-414f-adc1-0800498c7ab9
0x9006072E, 0bogsindex6edc609b-381a-412d-9551-87684260a632
0x7ADAF57D, map
0x921FF83C, maps
0xF171A410, 0bogsarraykeysb8df7dcb-480c-40da-9ba6-33bf7565ec35
0x83244648, 0bogsindexe047a510-0e10-493e-8eec-0be73161873f
0x660E07CF, 0bogsarraykeys4265f2c6-24f0-41fd-8e63-39395e7530ea
0x607867DC, 0bogsindexb7a002e9-3272-417c-8c58-635e9b5bd059
0x3DFFDCF9, 0bogsarraykeys911c8154-e49f-4741-b05d-8ef62012ea52
0x1DE6D150, 0bogsindex46cb0764-453b-4d8d-88cd-5ab33638349b
0x5A18BA9E, statvalue
0x19549957, stattype
0x4259AE32, statname
0xF996A5BC, weapons
0x51E9BB25, zombie_weapons
0xAA67C13B, addplayerstat
0x5FD83932, toupper
0x37B6567C, addrankxp
0x1F4288C0, addweaponstat
0xF3970517, rank
0x37B5BA8D, xp
0x4EAA39A0, old
0xAF4C52FC, xpvalue
0xF4B99BDF, maxrank
0xF085E48F, plevel
0xB946095, setrank
0xB89B44CA, getrankforxp
0xC60D35E9, getrankxp
0x9AA9E569, getrank
0xF1E9E5AA, _powerup_timeout_custom_time
0xA6DB0B7, powerup
0x9B998934, specific_powerup_drop
0x19EB00D4, get_next_powerup
0x22646992, zm_powerups
0x61853DAA, get_nonalternate_weapon
0x9FD5BDE7, switch_from_alt_weapon
0xE9C3870B, set_to_player
0x71E9CB84, clientfield
0x25545661, catalyst_next_round
0xB16941C8, old_round_wait_func
0xEDD19A9E, round_wait_func
0x6E46849, old_func_get_zombie_spawn_delay
0xE5823333, func_get_zombie_spawn_delay
0xDEBFE596, zombies
0x7922262B, get
0xC99967B7, round
0xC1841FF0, zombie_total
0xD3FA0A6A, number
0x9E53F601, setroundsplayed
0xA40B4C20, 0bogsarraykeys7e55a181-ac66-4ed9-b2dd-f4d6c087dfb4
0x6D9AFEC, 0bogsindex77f0321c-c244-44fa-abc9-0a7ec6cbd380
0x3111271F, s_craftable
0xC1891398, 0bogsarraykeysa20aa846-9d2a-4981-9fc7-3b136fcd1ef5
0x7288D163, 0bogsindex00d3a6c6-0349-42b6-8dd9-b101566f91f6
0xB1028D0B, s_piece
0xB09BBE80, zombie_include_craftables
0x7A5F63BC, a_piecestubs
0x5B55E566, piecespawn
0xD1AFF147, player_take_piece
0xF37770C8, zm_craftables
0xEA40DF92, 0bogsarraykeyscbb45184-80f3-492f-8025-b00c44ec5238
0xCBC87B49, 0bogsindex2ed27963-e02f-4969-876a-226131dc34d3
0x621175CE, 0bogsarraykeys86ad11f5-5fdd-4235-a63a-aef41abc4e09
0xCFD1F7BD, 0bogsindexa903701f-994c-422f-9e4d-3681703d29c7
0x79C2AAE5, door
0x739E758D, 0bogsarraykeysbd0a1d58-5dd0-4411-a8bd-a748da07e145
0xFCD6BDE3, 0bogsindexfb147159-a3c5-4abf-97a5-b85f93fd1a37
0x5948B3DF, trig
0x302C97B6, all_trigs
0xC9FB0569, zombie_doors
0xCB115F04, types
0x3B2B1E23, _door_open
0x76046123, door_opened
0xEA35D00D, zombie_cost
0xD95B3770, zm_blockers
0x5D210E97, set_hint_string
0x172BA133, zm_utility
0xE95D9494, 0bogsarraykeysbc54296a-7208-4427-928c-7f188e1c1931
0x73468C4C, 0bogsindexc5ccf164-a4ed-42c0-b20f-f136ee494830
0xBA1F19E5, 0bogsarraykeys81957682-1478-4148-978c-f4329564d421
0xFAD2702A, 0bogsindexe4eb1e00-6424-43d6-b906-74c3ccf8ab82
0xEEE07AA0, power_trigs
0x74D6B22F, set
0x8202763A, script_int
0x6ADA35BA, getent
0x1A2149BC, 0bogsarraykeys28dbc64e-fba8-41d6-9d41-fab4095fd6f0
0x4E91D92B, 0bogsindex7311a9f2-4a34-4868-b4e6-76b66c2b111a
0x844E4834, chest
0x8372E522, 0bogsarraykeys174c4b7c-dcd0-4817-b03c-c9ba6519d74b
0x8490C924, 0bogsindex628baf37-d4f7-43c2-b4e2-38d11d4b8684
0x4C2D8B27, chests
0xBFF506D, hidden
0x3911197B, pandora_show_func
0x51E2324D, set_magic_box_zbarrier_state
0x4100E7E1, zm_magicbox
0xE220ED8A, zbarrier
0x8EE1567F, hide_chest
0xD3A18B74, points
0x5110A7AD, add_to_player_score
0xDC726775, zm_score
0x6A0A9B48, minus_to_player_score
0x7FCEABE1, _retain_perks
0x23EE6FC, use_solo_revive
0x2AF2A7DD, solo_game_free_player_quickrevive
0xF59BAB01, give_perk
0x1FF19094, machine
0xA3557C4D, j
0x30144907, machines
0x3BE8A3B8, vending_triggers
0x3C191891, sin
0xEF0A72B2, cos
0xA96A2721, moveto
0x49A1849D, script_origin
0x822F0CC5, physicslaunch
0x74952A22, count
0xD84E54DB, ai
0x2F06D687, spawner
0x34D7A5CF, direction_vec
0xF8681460, eye
0x102E3D58, direction
0xE1DC201C, bullettrace
0x880D5985, zombie_spawners
0x78EAA3CC, fn_custom_zombie_spawner_selection
0x9CE83FA4, use_multiple_spawns
0x8B649865, spawner_int
0xB25481C7, zombie_spawn
0x47D18840, random
0xD974570F, spawn_zombie
0x170527FB, targetname
0x52BFB19E, zombie_utility
